Author,File Name,Number of Edits,Author Edits/Commits on the file 
kohsuke,core/src/main/java/hudson/model/DirectoryBrowserSupport.java,158,21
kohsuke,core/src/main/java/hudson/model/Project.java,158,57
kohsuke,core/src/main/java/hudson/tasks/ArtifactArchiver.java,158,14
kohsuke,remoting/src/main/java/hudson/remoting/Launcher.java,157,12
kohsuke,war/images/nothing.svg,157,1
kohsuke,core/src/main/java/hudson/widgets/HistoryWidget.java,156,4
kohsuke,debian/manpage.sgml.ex,156,1
kohsuke,core/src/main/java/hudson/search/ParsedQuickSilver.java,155,2
kohsuke,core/src/main/java/hudson/maven/reporters/MavenArtifactArchiver.java,153,31
kohsuke,core/src/main/java/hudson/model/ParametersDefinitionProperty.java,153,3
kohsuke,core/src/main/java/hudson/model/ListView.java,152,13
kohsuke,core/src/main/java/hudson/tasks/BuildWrapper.java,151,8
stephenconnolly,core/src/main/java/hudson/scm/browsers/Sventon.java,151,2
kohsuke,core/src/main/java/hudson/scm/browsers/FishEyeSVN.java,150,11
kohsuke,maven-agent/src/main/java/hudson/maven/agent/Main.java,150,14
kohsuke,maven-agent/src/main/resources/META-INF/plexus/components.xml,150,1
kohsuke,core/src/main/java/hudson/model/WorkspaceCleanupThread.java,149,11
kohsuke,core/src/main/java/hudson/node_monitors/ResponseTimeMonitor.java,147,2
kohsuke,core/src/main/java/hudson/model/Api.java,146,20
kohsuke,maven-interceptor/src/main/resources/META-INF/plexus/components.xml,146,3
kohsuke,core/src/main/java/hudson/model/Build.java,145,42
kohsuke,core/src/main/java/hudson/node_monitors/AbstractNodeMonitorDescriptor.java,145,10
kohsuke,core/src/main/java/hudson/tasks/junit/JUnitResultArchiver.java,145,22
kohsuke,core/src/main/java/hudson/util/spring/BeanConfiguration.java,144,1
kohsuke,debian/manpage.xml.ex,144,1
kohsuke,war/resources/testng-1.0.dtd,144,1
kohsuke,core/src/main/java/hudson/maven/MavenArtifact.java,143,2
kohsuke,core/src/main/java/hudson/util/VersionNumber.java,143,4
kohsuke,core/src/main/java/hudson/util/CompressedFile.java,142,2
kohsuke,core/src/main/java/hudson/BulkChange.java,141,1
kohsuke,core/src/main/java/hudson/lifecycle/WindowsSlaveInstaller.java,141,1
kohsuke,core/src/main/java/hudson/node_monitors/SwapSpaceMonitor.java,141,4
kohsuke,test/src/test/java/hudson/model/QueueTest.java,141,2
kohsuke,core/src/main/java/hudson/util/DoubleLaunchChecker.java,140,3
kohsuke,core/src/main/java/hudson/util/ListBoxModel.java,136,2
kohsuke,remoting/src/main/java/hudson/remoting/UserRequest.java,136,11
kohsuke,core/src/main/java/hudson/model/ResourceList.java,135,2
kohsuke,remoting/src/main/java/hudson/remoting/ProxyInputStream.java,135,2
kohsuke,core/src/main/java/hudson/Main.java,134,6
kohsuke,core/src/main/java/hudson/maven/reporters/SurefireArchiver.java,134,17
kohsuke,core/src/main/java/hudson/tasks/junit/TestResultAction.java,134,8
kohsuke,jnlp-agent/src/main/java/hudson/jnlp/Main.java,133,13
stephenconnolly,core/src/main/java/hudson/model/Hudson.java,133,9
kohsuke,core/src/main/java/hudson/api/Property.java,132,4
kohsuke,core/src/main/java/hudson/model/Label.java,132,5
kohsuke,core/src/main/java/hudson/maven/ExecutedMojo.java,131,4
kohsuke,core/src/main/java/hudson/model/TaskThread.java,131,4
kohsuke,core/src/main/java/hudson/security/DeferredCreationLdapAuthoritiesPopulator.java,131,2
kohsuke,core/src/main/grammar/crontab.g,130,3
kohsuke,core/src/main/java/hudson/BasicAuthenticationFilter.java,130,2
kohsuke,core/src/main/java/hudson/maven/reporters/MavenArtifactRecord.java,129,5
kohsuke,core/src/main/java/hudson/model/ParameterValue.java,129,2
kohsuke,core/src/main/java/hudson/scm/ChangeLogSet.java,129,12
kohsuke,core/src/main/java/hudson/tasks/Shell.java,129,11
stephenconnolly,core/src/main/resources/hudson/model/Hudson/configureExecutors.jelly,129,4
kohsuke,core/src/main/java/hudson/maven/reporters/MavenSiteArchiver.java,128,3
kohsuke,jnlp-agent/src/main/java/hudson/jnlp/Engine.java,128,10
kohsuke,war/resources/scripts/yui/resize/assets/skins/sam/resize-skin.css,128,1
stephenconnolly,core/src/main/java/hudson/Launcher.java,128,2
kohsuke,core/src/main/java/hudson/fsp/WorkspaceSnapshotSCM.java,127,1
kohsuke,core/src/main/resources/hudson/security/GlobalMatrixAuthorizationStrategy/config.jelly,126,17
kohsuke,core/src/main/resources/hudson/model/Build/index.jelly,125,3
kohsuke,core/src/main/java/hudson/scheduler/CronTab.java,124,5
kohsuke,core/src/main/java/hudson/tasks/test/AggregatedTestResultAction.java,124,8
kohsuke,core/src/main/java/hudson/maven/RedeployPublisher.java,123,7
kohsuke,core/src/main/java/hudson/scm/browsers/WebSVN.java,123,2
kohsuke,core/src/main/java/hudson/tasks/junit/PackageResult.java,123,6
kohsuke,core/src/main/java/hudson/tasks/test/TestResultProjectAction.java,121,5
kohsuke,core/src/main/resources/hudson/PluginManager/installed.jelly,121,5
stephenconnolly,core/src/main/java/hudson/slaves/RetentionStrategy.java,121,11
kohsuke,core/src/main/java/hudson/model/PermalinkProjectAction.java,120,2
kohsuke,core/src/main/java/hudson/util/RunList.java,120,6
kohsuke,core/src/main/java/hudson/util/XStream2.java,120,18
kohsuke,remoting/src/test/java/hudson/remoting/ChannelRunner.java,120,4
bruyeron,core/src/main/java/hudson/scm/SubversionSCM.java,119,1
kohsuke,core/src/main/resources/hudson/model/Hudson/managePlugins.jelly,119,12
kohsuke,core/src/main/java/hudson/model/ResourceController.java,118,3
kohsuke,pom.xml,118,451
kohsuke,war/resources/scripts/yui/treeview/treeview-debug.js,118,1
kohsuke,core/src/main/java/hudson/matrix/Axis.java,117,3
kohsuke,core/src/findbugs-filter.xml,115,6
kohsuke,core/src/main/java/hudson/model/Result.java,115,13
kohsuke,core/src/main/resources/hudson/security/ProjectMatrixAuthorizationStrategy/config.jelly,115,3
jglick,core/src/main/java/hudson/scm/browsers/FishEyeCVS.java,114,4
kohsuke,core/src/main/java/hudson/maven/SplittableBuildListener.java,114,5
kohsuke,core/src/main/java/hudson/maven/reporters/MavenJavadocArchiver.java,114,14
kohsuke,core/src/main/java/hudson/model/ExternalRun.java,114,5
kohsuke,core/src/main/java/hudson/security/MutatingRememberMeServices.java,114,2
kohsuke,core/src/main/java/hudson/tasks/LogRotator.java,114,4
kohsuke,core/src/main/java/hudson/util/EditDistance.java,113,3
kohsuke,war/resources/scripts/yui/treeview/assets/treeview.css,112,2
kohsuke,core/src/main/java/hudson/tasks/junit/ClassResult.java,111,6
kohsuke,war/resources/scripts/yui/tabview/assets/tabview-core.css,110,2
kohsuke,test/src/main/java/org/jvnet/hudson/test/HudsonHomeLoader.java,109,2
kohsuke,test/src/test/java/hudson/slaves/JNLPLauncherTest.java,109,6
kohsuke,war/resources/images/title.svg,109,1
kohsuke,war/resources/scripts/yui/connection-min.js,109,2
kohsuke,core/src/main/java/hudson/model/ParameterDefinition.java,108,1
kohsuke,core/src/main/java/hudson/EnvVars.java,107,12
kohsuke,core/src/main/java/hudson/security/PermissionGroup.java,107,2
kohsuke,core/src/main/resources/hudson/model/Messages.properties,107,13
stephenconnolly,core/src/main/java/hudson/model/Job.java,107,11
kohsuke,core/src/main/java/hudson/maven/ModuleName.java,106,10
kohsuke,core/src/main/java/hudson/slaves/CommandStartMethod.java,106,4
kohsuke,debian/hudson.init,106,4
kohsuke,core/src/main/java/hudson/maven/ModuleDependency.java,105,4
kohsuke,war/resources/scripts/yui/treeview/assets/treeview-menu.css,105,2
kohsuke,core/src/main/java/hudson/maven/PluginManagetInterceptor.java,104,2
kohsuke,core/src/main/java/hudson/org/apache/tools/ant/taskdefs/cvslib/ChangeLogWriter.java,104,4
kohsuke,core/src/main/java/hudson/util/ArgumentListBuilder.java,104,12
kohsuke,core/src/main/java/hudson/util/CopyOnWriteHashMap.java,104,1
kohsuke,remoting/src/test/java/hudson/remoting/PipeTest.java,104,4
kohsuke,war/resources/scripts/yui/treeview/assets/skins/sam/treeview-skin.css,104,2
stephenconnolly,core/src/main/java/hudson/tasks/labelers/OSLabeler.java,104,1
kohsuke,core/src/main/java/hudson/model/Resource.java,103,6
kohsuke,core/src/main/java/hudson/util/TableNestChecker.java,102,1
kohsuke,war/resources/scripts/yui/treeview-assets/tree.css,102,2
kohsuke,core/src/main/java/hudson/util/ByteBuffer.java,101,3
kohsuke,lib/org.kohsuke.stapler/poms/stapler-1.10-SNAPSHOT.pom,101,1
kohsuke,lib/org.kohsuke.stapler/poms/stapler-1.10.pom,101,1
kohsuke,lib/org.kohsuke.stapler/poms/stapler-1.9-SNAPSHOT.pom,101,1
kohsuke,remoting/src/main/java/hudson/remoting/RemoteWriter.java,101,1
kohsuke,core/src/main/java/hudson/model/JobProperty.java,100,9
kohsuke,core/src/main/java/hudson/security/HudsonFilter.java,100,9
kohsuke,remoting/pom.xml,100,416
kohsuke,war/resources/scripts/yui/container_core-min.js,100,3
kohsuke,test/src/main/java/org/jvnet/hudson/test/rhino/CallStackFrame.java,99,1
dwdyer,core/src/main/java/hudson/scm/browsers/CollabNetSVN.java,98,2
kohsuke,core/src/main/java/hudson/matrix/MatrixRun.java,97,10
kohsuke,core/src/main/java/hudson/maven/reporters/ReportCollector.java,97,3
kohsuke,test/pom.xml,96,42
stephenconnolly,core/src/main/java/hudson/model/Computer.java,96,7
kohsuke,core/src/main/java/hudson/matrix/AxisList.java,95,8
kohsuke,core/src/main/java/hudson/model/JDK.java,95,3
kohsuke,remoting/src/main/java/hudson/remoting/RemoteOutputStream.java,95,3
kohsuke,core/src/main/java/hudson/model/ExternalJob.java,94,7
kohsuke,core/src/main/java/hudson/model/FingerprintCleanupThread.java,94,1
kohsuke,core/src/main/java/hudson/util/RemotingDiagnostics.java,94,1
elefevre,core/src/main/resources/hudson/model/Messages_fr.properties,93,7
kohsuke,core/src/main/java/hudson/org/apache/tools/ant/taskdefs/cvslib/CvsUser.java,93,1
kohsuke,core/src/main/java/hudson/util/StreamTaskListener.java,93,10
kohsuke,core/src/test/java/hudson/model/FingerprintTest.java,93,1
kohsuke,core/src/main/java/hudson/ProxyConfiguration.java,92,3
kohsuke,core/src/main/java/hudson/maven/MavenProbeAction.java,92,1
kohsuke,core/src/main/java/hudson/model/listeners/RunListener.java,92,3
kohsuke,core/src/main/resources/hudson/scm/CVSSCM/TagAction/tagForm.jelly,92,10
kohsuke,core/src/test/java/hudson/BulkChangeTest.java,92,1
kohsuke,core/src/main/java/hudson/util/ClockDifference.java,91,6
kohsuke,core/src/main/java/hudson/model/BallColor.java,90,8
kohsuke,core/src/main/java/hudson/model/FreeStyleProject.java,90,2
kohsuke,core/src/main/java/hudson/model/MyView.java,90,3
kohsuke,core/src/main/java/hudson/node_monitors/DiskSpaceMonitor.java,90,10
kohsuke,remoting/src/main/java/hudson/remoting/Which.java,90,9
kohsuke,core/src/main/java/hudson/maven/FilteredChangeLogSet.java,89,2
kohsuke,core/src/main/java/hudson/model/FingerprintMap.java,89,10
kohsuke,core/src/main/java/hudson/security/ProjectBasedAuthorizationStrategy.java,89,2
kohsuke,core/src/main/resources/hudson/matrix/MatrixProject/configure-entries.jelly,89,14
kohsuke,debian/rules,89,6
swiest,core/src/main/resources/hudson/model/Messages_de.properties,89,4
digerata,core/src/main/java/hudson/ResponseHeaderFilter.java,88,1
kohsuke,core/src/main/java/hudson/model/ParametersAction.java,88,2
kohsuke,core/src/main/resources/lib/hudson/projectView.jelly,88,30
sogabe,war/resources/help/system-config/master-slave/availability_ja.html,88,4
kohsuke,core/src/main/java/hudson/maven/reporters/BuildInfoRecorder.java,87,4
